fid,block_num,multigeom
902,0806,T
903,0806,T
904,0807,T
905,0807,T
906,0808,T
907,0808,T
908,0809,T
909,0809,T
910,0810,F
911,0811,T
912,0811,T
913,0812,F
914,8716,F
915,0813,F
916,0814,F
917,0815,F
918,0816,T
919,0816,T
920,0817,T
921,0817,T
922,0818,T
923,0818,T
924,0819,T
925,0819,T
926,0820,F
927,0821,F
928,0822,F
929,0823,F
930,0824,F
931,0825,F
932,0826,F
933,0827,F
934,0828,F
935,0829,T
936,0829,T
937,0830,T
938,0830,T
939,0831,T
940,0831,T
941,0832,T
942,0832,T
943,0833,T
944,0833,T
945,8717,F
946,0834,T
947,0834,T
948,0835,F
949,0836,F
950,0837,T
951,0837,T
952,0838,T
953,0838,T
954,0839,T
955,0839,T
956,0840,T
957,0840,T
958,0841,F
959,0842,F
960,0843,F
961,0844,F
962,0845,F
963,0846,F
964,0847,F
965,0848,F
966,0849,F
967,0850,F
968,0851,F
969,0852,T
970,0852,T
971,0853,T
972,0853,T
973,0854,T
974,0854,T
975,0855,F
976,0856,F
977,0857,F
978,0858,T
979,0858,T
980,0859,F
981,0860,T
982,0860,T
983,0861,F
984,0862,F
985,0863,F
986,0864,F
987,0865,F
988,0866,F
989,0867,T
990,0867,T
991,0868,T
992,0868,T
993,0869,F
994,0871,F
995,0872,F
996,0873,F
997,0874,T
998,0874,T
999,0875,F
1000,0876,F
1001,8703,F
1002,0900,F
1003,0927,F
1004,2420,F
1005,0909,F
1006,0910,F
1007,0911,F
1008,0912,F
1009,0913,F
1010,0914,F
1011,0915,F
1012,0925,F
1013,3740,F
1014,0916,F
1015,0918,F
1016,0919,F
1017,0920,F
1018,0921,F
1019,0922,F
1020,0923,F
1021,0926,F
1022,3741,F
1023,0928,F
1024,0929,F
1025,0930,F
1026,0931,F
1027,0932,T
1028,0939,F
1029,8718,F
1030,0940,F
1031,0941,F
1032,0943,F
1033,0932,T
1034,0933,F
1035,0934,T
1036,0963,F
1037,0934,T
1038,0935,F
1039,0936,F
1040,0937,F
1041,0938,F
1042,0942,F
1043,0944,F
1044,0945,F
1045,0946,F
1046,0947,F
1047,0948,F
1048,0949,F
1049,0950,F
1050,0951,F
1051,0951A,F
1052,0952,F
1053,0953,F
1054,0954,F
1055,0955,F
1056,0956,F
1057,0956A,F
1058,0957,F
1059,0958,F
1060,0959,F
1061,0960,T
1062,0960,T
1063,0961,F
1064,0962,F
1065,0964,F
1066,0965,F
1067,0966,F
1068,0967,F
1069,0968,F
1070,0969,F
1071,0970,F
1072,0971,F
1073,0972,F
1074,0973,F
1075,0974,F
1076,0975,F
1077,0976,F
1078,0977,F
1079,0978,F
1080,3760,T
1081,0979,F
1082,0980,F
1083,0981,F
1084,0982,F
1085,0983,F
1086,0984,F
